API,status,Date(start),Date(end)
wapi/remove-permission',FALSE,,
wapi/all-role-group',FALSE,,
wapi/edit-group-role/(:num)',FALSE,,
wapi/remove-group-role',FALSE,,
wapi/checkip,FALSE,,
wapi/doctype-list',FALSE,,
wapi/company-doctype-list',FALSE,,
wapi/reminder-veification-pending,FALSE,,
wapi/otp-verify-account-merge',FALSE,,
wapi/send-otp-account-merge',FALSE,,
wapi/merge-user-register',FALSE,,
wapi/ai-generate-row,FALSE,,
wapi/revoke-delete-account',FALSE,,
digilocker,FALSE,,
wapi/nonclaim-company,FALSE,,
wapi/default-user-list,FALSE,,
wapi/swipe-number',FALSE,,
wapi/alternate-empty',FALSE,,
wapi/clarity,FALSE,,
wapi/collaborator-request',FALSE,,
wapi/accept-colloborator/(:num)',FALSE,,
wapi/collaborator-list',FALSE,,
wapi/job-collaborator-list',FALSE,,
wapi/get_question,FALSE,,
wapi/delete-email-domains/(:num)',FALSE,,
wapi/user-highest-level,FALSE,,
wapi/employee/add-skill-rating',FALSE,,
wapi/employee/add-skill-rating/(:num)',FALSE,,
wapi/edit-rating-list/(:num)',FALSE,,
wapi/show-rating',FALSE,,
wapi/update-show-profile-rating',FALSE,,
wapi/company/add-skill-rating',FALSE,,
wapi/company/add-skill-rating/(:num)',FALSE,,
wapi/rating-average',FALSE,,
wapi/search-filter',FALSE,,
wapi/update-education-date/(:num)',FALSE,,
wapi/saveFireBaseToken',FALSE,,
wapi/send-claim-otp',FALSE,,
wapi/verify-claim-otp',FALSE,,
wapi/create_push_scheduler,FALSE,,
wapi/get_last_30_min_signup,FALSE,,
wapi/get_level_1user,FALSE,,
wapi/get_level_1week_user,FALSE,,
wapi/get_level_2user,FALSE,,
wapi/get_level_3user,FALSE,,
wapi/get_level_4user,FALSE,,
wapi/sync-contacts,FALSE,,
